tickerName,modelName,RMSE,sharpeRatio,expectedValue
AXON,Random Forrest,4.52305667191082,0.2434091419309335,None
AXON,Attention-based LSTM,12.247126640453168,0.09425155644556109,195.92264
AXP,BiDirectional LSTM,3.2483149180612148,0.080448814,174.59323
AXP,LSTM,3.1712412621421953,0.10675559,169.51683
AXP,RNN,3.865314987533729,-0.0055238707,174.8136
AXP,ANN,3.1228875057604286,0.102075934,174.8127
AXP,CNN,13.032571409063996,0.14982583,155.1922
AXP,Random Forrest,2.9274360012196152,0.14374699826844936,None
AXP,Attention-based LSTM,6.672560617576892,0.06300029853102106,170.90265
BA,BiDirectional LSTM,7.691636992272488,0.039825793,211.39363
BA,LSTM,4.059485260704263,0.060900882,211.18675
BA,RNN,3.682298639629851,-0.0014338065,210.32697
BA,ANN,5.775323607176159,0.058226995,210.89719
BA,CNN,27.542472710216106,0.17970695,182.40445
BA,Random Forrest,10.057789181807053,0.18313482471685125,None
BA,Attention-based LSTM,7.069856215639694,0.15099962913475498,210.5847
AZO,BiDirectional LSTM,41.24786419286635,0.055043276,2488.0369
AZO,LSTM,92.08103026017724,0.051313866,2444.16
AZO,RNN,46.125698324709056,0.031301674,2484.943
AZO,ANN,116.82874412152974,0.041926943,2453.3137
AZO,CNN,110.9080613825954,0.21882805,2341.2534
AZO,Random Forrest,474.36330522682243,0.21120816237908388,None
AZO,Attention-based LSTM,101.31024186018516,0.019065570118653057,2460.7292
BABA,BiDirectional LSTM,2.8819070507684916,0.022446755,83.503746
BABA,LSTM,4.706810226621565,0.0101907365,83.81235
BABA,RNN,2.986446838855027,-0.12026674,83.79678
BABA,ANN,4.3498202170584825,0.027699929,84.32107
BABA,CNN,22.11899919099906,0.3009694,76.172134
BABA,Random Forrest,4.876188280877324,0.2654256487408626,None
BABA,Attention-based LSTM,8.858388157188875,0.051314681422975725,86.38106
BAC,BiDirectional LSTM,0.5145337078481195,0.036848962,29.07701
BAC,LSTM,0.6593171283194591,0.027558047,28.578009
BAC,RNN,0.5479003346919593,-0.15261059,29.168367
BAC,ANN,0.6621759400417718,0.02779956,28.873634
BAC,CNN,2.4234828403332145,0.13557853,26.4162
BAC,Random Forrest,0.3561237848688292,0.13444127975397363,None
BAC,Attention-based LSTM,1.4448872139376248,-0.06763581962564805,28.509691
BDX,BiDirectional LSTM,2.626704062949295,0.16237421,262.03125
BDX,LSTM,3.1886147048641833,0.17944373,261.67938
BDX,RNN,2.556742412511732,0.047349863,261.05695
BDX,ANN,2.579192348558029,0.14938886,260.79828
BDX,CNN,21.93876836950099,0.04105595,230.48851
BDX,Random Forrest,5.211686454543993,0.033926820848721444,None
BDX,Attention-based LSTM,5.818011442727957,0.06688294590143908,257.21698
BGNE,BiDirectional LSTM,7.064156868314196,-0.14021477,181.01445
BGNE,LSTM,9.740628705027593,-0.1409954,185.10382
BGNE,RNN,7.0266862495812,-0.11262192,179.78499
BGNE,ANN,7.344053288311225,-0.18211137,178.37483
BGNE,CNN,13.817047790471767,0.20340052,172.54393
BGNE,Random Forrest,12.482099061618783,0.20932967574775052,None
BGNE,Attention-based LSTM,17.9932110912445,0.02292616240427979,186.84473
BIO,BiDirectional LSTM,12.94850359394965,-0.15044968,378.88333
BIO,LSTM,15.187575922239182,-0.13134558,376.0017
BIO,RNN,12.08291133954326,-0.1114814,378.24243
BIO,ANN,15.18311764983282,-0.21802554,377.91345
BIO,CNN,58.47933425814204,0.16747668,332.45847
BIO,Random Forrest,31.23853953480916,0.16215988296245393,None
BIO,Attention-based LSTM,35.546991735117885,0.00388389601366966,371.19107
BIIB,BiDirectional LSTM,5.380417118940145,0.08580795,287.10745
BIIB,LSTM,4.765435816110521,0.089811325,287.99902
BIIB,RNN,4.008936865286577,-0.012839326,285.68646
BIIB,ANN,4.0968380064837895,0.08640117,285.38245
BIIB,CNN,34.67779956882212,0.09427236,253.6847
BIIB,Random Forrest,19.112752983761375,0.10440143800742167,None
BIIB,Attention-based LSTM,12.490355443830218,0.0136085359137712,288.0167
BKNG,BiDirectional LSTM,64.00816189149207,0.066861905,2709.856
BKNG,LSTM,68.6764628183028,0.058079615,2714.2295
BKNG,RNN,46.63466755340613,0.056925707,2721.8538
BKNG,ANN,40.82969606170284,0.05246839,2716.0605
BKNG,CNN,313.6217159480322,0.10002921,2295.3677
BKNG,Random Forrest,530.601851787014,0.10423390766742568,None
BKNG,Attention-based LSTM,68.9736984422229,0.1407300933273343,2666.157
BLK,BiDirectional LSTM,9.34439369110894,0.080908686,690.8132
BLK,LSTM,14.325893486716723,0.12850918,683.8241
BLK,RNN,9.753674561825674,-0.05135726,693.43304
BLK,ANN,12.142620111501794,0.1371432,689.6255
BLK,CNN,34.43034299162684,0.14814548,642.088
BLK,Random Forrest,97.63785540622949,0.14533043033766524,None
BLK,Attention-based LSTM,45.63000124243391,0.03499086783874633,682.3107
BLD,BiDirectional LSTM,4.614447695552852,0.2956193,265.0778
BLD,LSTM,6.512495867971103,0.3358488,262.79565
BLD,RNN,4.513031785815197,0.15707232,264.28674
BLD,ANN,5.628466737171131,0.3874722,264.94907
BLD,CNN,9.81085788367866,0.19785017,249.53618
BLD,Random Forrest,6.444777276475673,0.20976262993920367,None
BLD,Attention-based LSTM,10.537576612326047,0.12609343377877982,251.69412
BND,BiDirectional LSTM,0.3280972522274948,-0.047238685,72.42946
BND,LSTM,0.43554435876606945,-0.018865086,72.75835
BND,RNN,0.3763312190836012,-0.06150032,72.482506
